Radar NIS, Time 
11.4738,3400000
5.11394,3433333
1.32996,3433333
8.31949,3433333
1.58296,3466666
0.726422,3466666
4.63666,3466666
2.57291,3500000
0.796155,3500000
6.19018,3500000
9.05793,3533333
1.33787,3533333
6.8159,3533333
3.28222,3566666
0.744038,3566666
9.48357,3566666
13.7654,3600000
2.04363,3600000
17.5221,3600000
13.6855,3633333
6.93403,3633333
27.7434,3633333
11.9164,3666666
1.58675,3666666
15.9888,3666666
4.41355,3700000
1.32256,3700000
14.5675,3700000
4.71668,3733333
7.13205,3733333
3.88276,3733333
6.81596,3766666
4.87362,3766666
23.0325,3766666
7.03407,3800000
5.10696,3800000
12.0223,3800000
8.53007,3833333
4.50034,3833333
18.3373,3833333
3.33815,3866666
2.94133,3866666
7.73351,3866666
2.06293,3900000
1.44152,3900000
11.4644,3900000
2.16505,3933333
2.93286,3933333
13.8987,3933333
5.05619,3966666
0.708895,3966666
15.6421,3966666
2.64917,4000000
0.363608,4000000
10.4281,4000000
2.89501,4033333
6.5658,4033333
4.33072,4033333
2.33192,4066666
3.23257,4066666
14.633,4066666
1.76761,4100000
0.733486,4100000
6.16612,4100000
0.839862,4133333
0.0468822,4133333
8.28996,4133333
6.05618,4166666
4.15421,4166666
7.20157,4166666
1.00168,4200000
0.423887,4200000
7.09022,4200000
1.97706,4233333
0.263972,4233333
11.8029,4233333
1.57077,4266666
1.6188,4266666
7.42165,4266666
11.3836,4300000
11.0125,4300000
17.5739,4300000
5.14722,4333333
8.02698,4333333
8.01954,4333333
2.36473,4366666
4.93253,4366666
6.47948,4366666
3.51073,4400000
10.8654,4400000
0.440143,4400000
4.45486,4433333
11.4696,4433333
1.27959,4433333
0.656609,4466666
3.96656,4466666
3.18534,4466666
2.01583,4500000
6.46623,4500000
1.77743,4500000
4.82666,4533333
12.3353,4533333
3.9862,4533333
5.1535,4566666
7.71058,4566666
15.7794,4566666
4.92006,4600000
8.75318,4600000
8.37365,4600000
3.3562,4633333
10.0745,4633333
2.31133,4633333
1.10791,4666666
4.60665,4666666
3.75736,4666666
3.3921,4700000
5.24296,4700000
4.87809,4700000
1.91581,4733333
12.0317,4733333
1.05557,4733333
3.31754,4766666
14.6415,4766666
3.52864,4766666
1.17382,4800000
2.72249,4800000
4.94845,4800000
14.3391,4833333
27.0816,4833333
5.83489,4833333
7.13372,4866666
20.7214,4866666
3.71021,4866666
3.00447,4900000
13.36,4900000
1.6466,4900000
3.84466,4933333
8.56672,4933333
4.8955,4933333
2.54233,4966666
6.93147,4966666
2.34089,4966666
5.9103,5000000
15.9848,5000000
4.81336,5000000
4.854,5033333
8.46954,5033333
2.09913,5033333
4.39541,5066666
11.8381,5066666
0.0819162,5066666
7.39509,5100000
16.9234,5100000
4.38955,5100000
9.16249,5133333
12.6395,5133333
6.2076,5133333
1.84118,5166666
2.42484,5166666
6.55975,5166666
0.155336,5200000
4.48919,5200000
5.2138,5200000
17.5471,5233333
20.3607,5233333
6.7981,5233333
14.9975,5266666
25.745,5266666
4.59002,5266666
9.19772,5300000
15.2361,5300000
1.57972,5300000
7.93614,5333333
8.77774,5333333
3.4739,5333333
9.78927,5366666
1.90211,5366666
10.4094,5366666
2.68743,5400000
8.43812,5400000
0.194723,5400000
23.9026,5433333
37.7784,5433333
9.98016,5433333
8.30542,5466666
20.1071,5466666
3.55622,5466666
10.3576,5500000
13.6097,5500000
5.87676,5500000
3.0873,5533333
8.84808,5533333
0.0664087,5533333
11.2171,5566666
7.98199,5566666
6.43808,5566666
12.1171,5600000
9.19792,5600000
5.68043,5600000
11.9226,5633333
18.1706,5633333
4.46136,5633333
9.67773,5666666
9.11586,5666666
9.48982,5666666
3.48794,5700000
13.4473,5700000
3.55569,5700000
0.941606,5733333
2.87749,5733
