Lidar NIS, Time 
0.544802,1766666
4.67387,1766666
1.90403,1800000
2.28841,1800000
7.05111,1800000
1.71048,1833333
1.15734,1833333
2.13323,1833333
0.982354,1866666
1.24864,1866666
5.50089,1866666
0.0323594,1900000
0.0867017,1900000
1.78003,1900000
2.85526,1933333
3.01899,1933333
4.81968,1933333
2.26199,1966666
2.55864,1966666
8.20567,1966666
0.939192,2000000
1.09474,2000000
3.87738,2000000
0.563096,2033333
0.490626,2033333
3.36905,2033333
2.61354,2066666
2.27888,2066666
7.88662,2066666
0.00539583,2100000
0.000100841,2100000
2.45935,2100000
0.143169,2133333
0.106529,2133333
1.12176,2133333
6.28273,2166666
5.39113,2166666
10.3045,2166666
0.515253,2200000
0.321593,2200000
1.12241,2200000
1.94495,2233333
2.45437,2233333
0.0253889,2233333
4.74068,2266666
5.1033,2266666
2.02932,2266666
1.16747,2300000
1.21606,2300000
4.14462,2300000
1.1372,2333333
0.888153,2333333
2.4113,2333333
0.231493,2366666
0.442029,2366666
2.6516,2366666
0.557281,2400000
0.545795,2400000
1.15076,2400000
0.379691,2433333
0.37036,2433333
3.35594,2433333
7.30102,2466666
7.91841,2466666
14.1855,2466666
7.88787,2500000
7.79645,2500000
19.1936,2500000
0.907558,2533333
1.4632,2533333
3.41297,2533333
7.59662,2566666
7.29009,2566666
1.94097,2566666
0.263086,2600000
0.373717,2600000
5.91451,2600000
7.05648,2633333
6.32288,2633333
6.30008,2633333
1.59292,2666666
1.26626,2666666
1.07334,2666666
3.22028,2700000
2.03543,2700000
10.0094,2700000
0.222898,2733333
0.599882,2733333
6.77441,2733333
2.42968,2766666
2.82179,2766666
13.3806,2766666
2.02434,2800000
0.944844,2800000
8.76839,2800000
1.18967,2833333
0.94119,2833333
1.28191,2833333
3.92183,2866666
1.51945,2866666
8.46354,2866666
0.106418,2900000
0.106291,2900000
4.25371,2900000
2.948,2933333
1.23639,2933333
4.82767,2933333
0.436436,2966666
1.62166,2966666
4.74739,2966666
5.20329,3000000
4.93527,3000000
0.337839,3000000
4.63632,3033333
2.40794,3033333
3.60562,3033333
7.32585,3066666
5.11777,3066666
8.45996,3066666
3.78186,3100000
2.46921,3100000
4.86765,3100000
0.0527158,3133333
0.414179,3133333
2.92941,3133333
0.538009,3166666
1.17863,3166666
5.92865,3166666
3.01933,3200000
2.41297,3200000
9.44891,3200000
0.675461,3233333
0.40744,3233333
1.16306,3233333
0.927221,3266666
0.477847,3266666
5.60334,3266666
0.056607,3300000
0.342615,3300000
2.90334,3300000
1.97856,3333333
2.95497,3333333
8.82953,3333333
0.272971,3366666
0.130025,3366666
4.88521,3366666
0.245133,3400000
0.252547,3400000
5.11378,3400000
0.500967,3433333
0.246756,3433333
3.66119,3433333
1.75767,3466666
2.04875,3466666
8.06697,3466666
1.80449,3500000
1.69314,3500000
6.87917,3500000
1.4817,3533333
1.54146,3533333
0.817443,3533333
0.0554847,3566666
0.165307,3566666
3.20705,3566666
0.559626,3600000
1.00551,3600000
7.53837,3600000
4.7981,3633333
3.50155,3633333
13.6902,3633333
0.597591,3666666
1.70202,3666666
5.53483,3666666
0.513524,3700000
0.314685,3700000
2.34652,3700000
9.68885,3733333
5.82572,3733333
1.64467,3733333
3.38759,3766666
0.745828,3766666
5.31214,3766666
7.21595,3800000
3.62384,3800000
10.3013,3800000
3.78281,3833333
0.809916,3833333
5.3477,3833333
1.05712,3866666
3.95399,3866666
10.0457,3866666
3.5713,3900000
0.63716,3900000
0.488125,3900000
2.63649,3933333
0.0315276,3933333
2.07868,3933333
1.191,3966666
0.757624,3966666
1.73596,3966666
1.10857,4000000
1.53587,4000000
3.89794,4000000
10.3834,4033333
1.72836,4033333
4.61036,4033333
0.179716,4066666
5.1743,4066666
5.29906,4066666
1.94824,4100000
2.82669,4100000
0.899323,4100000
13.526,4133333
1.27444,4133333
3.34618,4133333
8.93771,4166666
0.275428,4166666
1.62589,4166666
9.65281,4200000
1.33849,4200000
0.787109,4200000
10.8453,4233333
1.23485,4233333
1.19719,4233333
9.5952,4266666
0.719505,4266666
0.799003,4266666
17.1384,4300000
3.88356,4300000
4.05588,4300000
6.63852,4333333
0.708981,4333333
0.694962,4333333
5.04099,4366666
5.02325,4366666
7.46463,4366666
12.2174,4400000
5.94305,4400000
5.73129,4400000
1.94865,4433333
5.33369,4433333
8.2502,4433333
0.546735,4466666
1.43005,4466666
3.04612,4466666
2.03609,4500000
3.69273,4500000
5.50319,4500000
0.773788,4533333
4.14577,4533333
5.6044,4533333
0.239584,4566666
0.573161,4566666
1.29588,4566666
0.572006,4600000
1.29601,4600000
2.29281,4600000
1.57974,4633333
1.16791,4633333
0.850332,4633333
2.33664,4666666
3.54309,4666666
2.41876,4666666
6.37693,4700000
4.63675,4700000
2.38224,4700000
6.55926,4733333
13.1783,4733333
13.5594,4733333
2.79629,4766666
0.602081,4766666
1.25066,4766666
1.57884,4800000
1.8443,4800000
0.416863,4800000
3.73533,4833333
6.34583,4833333
5.52748,4833333
7.08011,4866666
8.90793,4866666
7.41818,4866666
5.59015,4900000
1.56378,4900000
1.67607,4900000
8.67033,4933333
2.26301,4933333
2.73784,4933333
7.38762,4966666
0.599314,4966666
1.47552,4966666
9.09508,5000000
5.61132,5000000
3.39022,5000000
1.14083,5033333
9.86582,5033333
4.8591,5033333
1.30991,5066666
9.28905,5066666
4.03698,5066666
6.72127,5100000
2.21784,5100000
0.704107,5100000
3.50014,5133333
1.00686,5133333
0.0501692,5133333
5.43083,5166666
7.19963,5166666
1.64816,5166666
8.06428,5200000
20.8688,5200000
8.50378,5200000
3.02784,5233333
6.03357,5233333
0.376506,5233333
12.6402,5266666
12.4381,5266666
3.55864,5266666
4.33599,5300000
8.48961,5300000
0.810298,5300000
1.40261,5333333
2.69402,5333333
1.63034,5333333
1.66049,5366666
8.48084,5366666
1.24628,5366666
1.07677,5400000
7.49971,5400000
0.894715,5400000
7.32192,5433333
1.87719,5433333
1.66694,5433333
0.755316,5466666
5.20926,5466666
1.22054,5466666
3.559,5500000
4.47294,5500000
0.00107099,5500000
8.83607,5533333
12.1941,5533333
1.96704,5533333
9.76945,5566666
7.3391,5566666
1.47272,5566666
2.08757,5600000
18.6045,5600000
6.08919,5600000
12.7985,5633333
22.37,5633333
4.01444,5633333
4.14363,5666666
3.39113,5666666
1
